stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14_14,,Sappho,,48.070021,-124.27906,forks,,,,,
14_15,,Hwy 101 and Lake Pleasant Road,,48.054741,-124.336011,forks,,,,,
14_16,,Hwy 101 at Beaver Post Office / Store,,48.0561357,-124.3479656,forks,,,,,
14_17,,Hwy 101 and Salmon Dr,,48.0263829,-124.3893289,forks,,,,,
14_18,,Hwy 101 and Lucken Road,,48.0091927,-124.3896062,forks,,,,,
14_19,,Hwy 101 across from Whitcomb Dimmel Road,,47.979796,-124.402859,forks,,,,,
14_20,,Hwy 101 at 110 (across from Ki'tla Center on 101),,47.968668,-124.403561,forks,,,,,
14_21,,Forks Avenue across from Tillicum Park,,47.954441,-124.38566,forks,,,,,
14_22,,Forks Avenue and A Street,,47.949923,-124.385575,forks,,,,,
14_24,,Forks Transit Center,,47.945138,-124.384672,forks,,,,,
14_29,,Tillicum Park and Forks Avenue,,47.954277,-124.385289,forks,,,,,
UCM,,UC Merced transit Center,,37.362143,-120.428393,,,,,,
C1_1,,Granville Apartments,,37.315153,-120.502571,,,,,,
C1_2,,G St. & W. Alexander Ave. (Bus Stop on "G" by Gas Station),,37.315753,-120.469212,,,,,,
C1_3,,Rite Aid/Walgreens,,37.31961,-120.469159,,,,,,
C1_4,,El Portal & "G" Street (Bus stop on"G"),,37.327057,-120.469026,,,,,,
C1_5,,Mercy Hospital/Tri-College,,37.339313,-120.468778,,,,,,
C1_6,,M St. & Bellevue RD (Bellevue Ranch),,37.358279,-120.477265,,,,,,
C1_7,,Tri-College/Mercy (Bus stop on "G" next to Tri College,,37.335932,-120.469214,,,,,,
