trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1,06:11:00,06:11:00,363327,0,"",0,,21812.450058688988,1
1,06:18:00,06:18:00,363387,1,"",0,,27601.189981361757,1
1,06:22:00,06:22:00,1360603,2,"",0,,29423.26138626933,1
10,19:30:00,19:30:00,358424,0,"",0,,8.413030315141626,1
10,19:34:00,19:34:00,359119,1,"",0,,1186.592417865964,1
10,19:41:00,19:41:00,475000,2,"",0,,4521.101763339149,1
10,19:47:00,19:47:00,1355358,3,"",0,,7768.802208914876,1
10,19:56:00,19:56:00,349823,4,"",0,,10182.484605025134,1
10,20:01:00,20:01:00,350125,5,"",0,,12678.30471824426,1
10,20:07:00,20:07:00,475003,6,"",0,,14604.484219302663,0
100,18:30:00,18:30:00,360379,0,"",0,,0,1
100,18:33:00,18:33:00,360107,1,"",0,,1440.992125390038,1
100,18:38:00,18:38:00,360133,2,"",0,,3682.145729940956,1
100,18:47:00,18:47:00,349795,3,"",0,,7217.439389279691,1
100,18:52:00,18:52:00,349823,4,"",0,,9221.42027469592,1
100,19:10:00,19:10:00,359350,5,"",0,,16362.241879887493,1
100,19:13:00,19:13:00,349705,6,"",0,,17896.942102624045,1
101,19:30:00,19:30:00,360379,0,"",0,,0,1
101,19:33:00,19:33:00,360107,1,"",0,,1440.992125390038,1
101,19:38:00,19:38:00,360133,2,"",0,,3682.145729940956,1
101,19:47:00,19:47:00,349795,3,"",0,,7217.439389279691,1
101,19:52:00,19:52:00,349823,4,"",0,,9221.42027469592,1
101,20:10:00,20:10:00,359350,5,"",0,,16362.241879887493,1
101,20:13:00,20:13:00,349705,6,"",0,,17896.942102624045,1
102,07:00:00,07:00:00,360379,0,"",0,,0,1
102,07:03:00,07:03:00,360107,1,"",0,,1440.992125390038,1
102,07:08:00,07:08:00,360133,2,"",0,,3682.145729940956,1
102,07:17:00,07:17:00,349795,3,"",0,,7217.439389279691,1
102,07:22:00,07:22:00,349823,4,"",0,,9221.42027469592,1
102,07:40:00,07:40:00,359350,5,"",0,,16362.241879887493,1
102,07:43:00,07:43:00,349705,6,"",0,,17896.942102624045,1
103,08:00:00,08:00:00,360379,0,"",0,,0,1
103,08:03:00,08:03:00,360107,1,"",0,,1440.992125390038,1
103,08:08:00,08:08:00,360133,2,"",0,,3682.145729940956,1
103,08:17:00,08:17:00,349795,3,"",0,,7217.439389279691,1
103,08:22:00,08:22:00,349823,4,"",0,,9221.42027469592,1
103,08:40:00,08:40:00,359350,5,"",0,,16362.241879887493,1
103,08:43:00,08:43:00,349705,6,"",0,,17896.942102624045,1
104,09:00:00,09:00:00,360379,0,"",0,,0,1
104,09:03:00,09:03:00,360107,1,"",0,,1440.992125390038,1
104,09:08:00,09:08:00,360133,2,"",0,,3682.145729940956,1
104,09:17:00,09:17:00,349795,3,"",0,,7217.439389279691,1
104,09:22:00,09:22:00,349823,4,"",0,,9221.42027469592,1
104,09:40:00,09:40:00,359350,5,"",0,,16362.241879887493,1
104,09:43:00,09:43:00,349705,6,"",0,,17896.942102624045,1
105,10:00:00,10:00:00,360379,0,"",0,,0,1
105,10:03:00,10:03:00,360107,1,"",0,,1440.992125390038,1
105,10:08:00,10:08:00,360133,2,"",0,,3682.145729940956,1
105,10:17:00,10:17:00,349795,3,"",0,,7217.439389279691,1
105,10:22:00,10:22:00,349823,4,"",0,,9221.42027469592,1
105,10:40:00,10:40:00,359350,5,"",0,,16362.241879887493,1
105,10:43:00,10:43:00,349705,6,"",0,,17896.942102624045,1
106,11:00:00,11:00:00,360379,0,"",0,,0,1
106,11:03:00,11:03:00,360107,1,"",0,,1440.992125390038,1
106,11:08:00,11:08:00,360133,2,"",0,,3682.145729940956,1
106,11:17:00,11:17:00,349795,3,"",0,,7217.439389279691,1
106,11:22:00,11:22:00,349823,4,"",0,,9221.42027469592,1
106,11:40:00,11:40:00,359350,5,"",0,,16362.241879887493,1
106,11:43:00,11:43:00,349705,6,"",0,,17896.942102624045,1
107,12:00:00,12:00:00,360379,0,"",0,,0,1
107,12:03:00,12:03:00,360107,1,"",0,,1440.992125390038,1
107,12:08:00,12:08:00,360133,2,"",0,,3682.145729940956,1
107,12:17:00,12:17:00,349795,3,"",0,,7217.439389279691,1
107,12:22:00,12:22:00,349823,4,"",0,,9221.42027469592,1
107,12:40:00,12:40:00,359350,5,"",0,,16362.241879887493,1
107,12:43:00,12:43:00,349705,6,"",0,,17896.942102624045,1
108,13:00:00,13:00:00,360379,0,"",0,,0,1
108,13:03:00,13:03:00,360107,1,"",0,,1440.992125390038,1
108,13:08:00,13:08:00,360133,2,"",0,,3682.145729940956,1
108,13:17:00,13:17:00,349795,3,"",0,,7217.439389279691,1
108,13:22:00,13:22:00,349823,4,"",0,,9221.42027469592,1
108,13:40:00,13:40:00,359350,5,"",0,,16362.241879887493,1
108,13:43:00,13:43:00,349705,6,"",0,,17896.942102624045,1
109,14:00:00,14:00:00,360379,0,"",0,,0,1
109,14:03:00,14:03:00,360107,1,"",0,,1440.992125390038,1
109,14:08:00,14:08:00,360133,2,"",0,,3682.145729940956,1
109,14:17:00,14:17:00,349795,3,"",0,,7217.439389279691,1
109,14:22:00,14:22:00,349823,4,"",0,,9221.42027469592,1
109,14:40:00,14:40:00,359350,5,"",0,,16362.241879887493,1
109,14:43:00,14:43:00,349705,6,"",0,,17896.942102624045,1
11,06:01:00,06:01:00,1355358,0,"",0,,7768.802208914876,1
11,06:05:00,06:05:00,349823,1,"",0,,10182.484605025134,1
11,06:10:00,06:10:00,350125,2,"",0,,12678.30471824426,1
11,06:16:00,06:16:00,475003,3,"",0,,14604.484219302663,0
11,06:24:00,06:24:00,474874,4,"",0,,18099.200723863003,1
11,06:30:00,06:30:00,351095,5,"",0,,19186.139135139932,1
11,06:37:00,06:37:00,363327,6,"",0,,21812.450058688988,1
11,06:44:00,06:44:00,363387,7,"",0,,27601.189981361757,1
11,06:48:00,06:48:00,1360603,8,"",0,,29423.26138626933,1
110,15:00:00,15:00:00,360379,0,"",0,,0,1
110,15:03:00,15:03:00,360107,1,"",0,,1440.992125390038,1
110,15:08:00,15:08:00,360133,2,"",0,,3682.145729940956,1
110,15:17:00,15:17:00,349795,3,"",0,,7217.439389279691,1
110,15:22:00,15:22:00,349823,4,"",0,,9221.42027469592,1
110,15:40:00,15:40:00,359350,5,"",0,,16362.241879887493,1
110,15:43:00,15:43:00,349705,6,"",0,,17896.942102624045,1
111,16:00:00,16:00:00,360379,0,"",0,,0,1
111,16:03:00,16:03:00,360107,1,"",0,,1440.992125390038,1
111,16:08:00,16:08:00,360133,2,"",0,,3682.145729940956,1
111,16:17:00,16:17:00,349795,3,"",0,,7217.439389279691,1
111,16:22:00,16:22:00,349823,4,"",0,,9221.42027469592,1
111,16:40:00,16:40:00,359350,5,"",0,,16362.241879887493,1
111,16:43:00,16:43:00,349705,6,"",0,,17896.942102624045,1
112,17:00:00,17:00:00,360379,0,"",0,,0,1
112,17:03:00,17:03:00,360107,1,"",0,,1440.992125390038,1
112,17:08:00,17:08:00,360133,2,"",0,,3682.145729940956,1
112,17:17:00,17:17:00,349795,3,"",0,,7217.439389279691,1
112,17:22:00,17:22:00,349823,4,"",0,,9221.42027469592,1
112,17:40:00,17:40:00,359350,5,"",0,,16362.241879887493,1
112,17:43:00,17:43:00,349705,6,"",0,,17896.942102624045,1
113,18:00:00,18:00:00,360379,0,"",0,,0,1
113,18:03:00,18:03:00,360107,1,"",0,,1440.992125390038,1
113,18:08:00,18:08:00,360133,2,"",0,,3682.145729940956,1
113,18:17:00,18:17:00,349795,3,"",0,,7217.439389279691,1
113,18:22:00,18:22:00,349823,4,"",0,,9221.42027469592,1
113,18:40:00,18:40:00,359350,5,"",0,,16362.241879887493,1
113,18:43:00,18:43:00,349705,6,"",0,,17896.942102624045,1
114,19:00:00,19:00:00,360379,0,"",0,,0,1
114,19:03:00,19:03:00,360107,1,"",0,,1440.992125390038,1
114,19:08:00,19:08:00,360133,2,"",0,,3682.145729940956,1
114,19:17:00,19:17:00,349795,3,"",0,,7217.439389279691,1
114,19:22:00,19:22:00,349823,4,"",0,,9221.42027469592,1
114,19:40:00,19:40:00,359350,5,"",0,,16362.241879887493,1
114,19:43:00,19:43:00,349705,6,"",0,,17896.942102624045,1
115,05:56:00,05:56:00,474970,0,"",0,,5051.984328690582,1
115,06:05:00,06:05:00,360641,1,"",0,,9620.400236103387,1
115,06:09:00,06:09:00,474966,2,"",0,,11731.90683812792,1
115,06:20:00,06:20:00,474958,3,"",0,,16024.94310031154,1
116,06:45:00,06:45:00,351095,0,"",0,,0,1
116,06:48:00,06:48:00,362196,1,"",0,,855.9633070054697,1
116,06:53:00,06:53:00,358569,2,"",0,,1715.0051665250332,1
116,07:01:00,07:01:00,474970,3,"",0,,5051.984328690582,1
116,07:10:00,07:10:00,360641,4,"",0,,9620.400236103387,1
116,07:14:00,07:14:00,474966,5,"",0,,11731.90683812792,1
116,07:25:00,07:25:00,474958,6,"",0,,16024.94310031154,1
117,07:45:00,07:45:00,351095,0,"",0,,0,1
117,07:48:00,07:48:00,362196,1,"",0,,855.9633070054697,1
117,07:53:00,07:53:00,358569,2,"",0,,1715.0051665250332,1
117,08:01:00,08:01:00,474970,3,"",0,,5051.984328690582,1
117,08:10:00,08:10:00,360641,4,"",0,,9620.400236103387,1
117,08:14:00,08:14:00,474966,5,"",0,,11731.90683812792,1
117,08:25:00,08:25:00,474958,6,"",0,,16024.94310031154,1
118,08:45:00,08:45:00,351095,0,"",0,,0,1
118,08:48:00,08:48:00,362196,1,"",0,,855.9633070054697,1
118,08:53:00,08:53:00,358569,2,"",0,,1715.0051665250332,1
118,09:01:00,09:01:00,474970,3,"",0,,5051.984328690582,1
118,09:10:00,09:10:00,360641,4,"",0,,9620.400236103387,1
118,09:14:00,09:14:00,474966,5,"",0,,11731.90683812792,1
118,09:25:00,09:25:00,474958,6,"",0,,16024.94310031154,1
119,09:45:00,09:45:00,351095,0,"",0,,0,1
119,09:48:00,09:48:00,362196,1,"",0,,855.9633070054697,1
119,09:53:00,09:53:00,358569,2,"",0,,1715.0051665250332,1
119,10:01:00,10:01:00,474970,3,"",0,,5051.984328690582,1
119,10:10:00,10:10:00,360641,4,"",0,,9620.400236103387,1
119,10:14:00,10:14:00,474966,5,"",0,,11731.90683812792,1
119,10:25:00,10:25:00,474958,6,"",0,,16024.94310031154,1
12,07:00:00,07:00:00,358424,0,"",0,,8.413030315141626,1
12,07:04:00,07:04:00,359119,1,"",0,,1186.592417865964,1
12,07:11:00,07:11:00,475000,2,"",0,,4521.101763339149,1
12,07:17:00,07:17:00,1355358,3,"",0,,7768.802208914876,1
12,07:26:00,07:26:00,349823,4,"",0,,10182.484605025134,1
12,07:31:00,07:31:00,350125,5,"",0,,12678.30471824426,1
12,07:37:00,07:37:00,475003,6,"",0,,14604.484219302663,0
12,07:45:00,07:45:00,474874,7,"",0,,18099.200723863003,1
12,07:49:00,07:49:00,351095,8,"",0,,19186.139135139932,1
12,07:56:00,07:56:00,363327,9,"",0,,21812.450058688988,1
12,08:03:00,08:03:00,359551,10,"",0,,25261.24164397684,1
12,08:07:00,08:07:00,363387,11,"",0,,27601.189981361757,1
12,08:11:00,08:11:00,1360603,12,"",0,,29423.26138626933,1
120,10:45:00,10:45:00,351095,0,"",0,,0,1
120,10:48:00,10:48:00,362196,1,"",0,,855.9633070054697,1
120,10:53:00,10:53:00,358569,2,"",0,,1715.0051665250332,1
120,11:01:00,11:01:00,474970,3,"",0,,5051.984328690582,1
120,11:10:00,11:10:00,360641,4,"",0,,9620.400236103387,1
120,11:14:00,11:14:00,474966,5,"",0,,11731.90683812792,1
